4.432000	4.432000	B
4.511000	4.511000	B
5.249000	5.249000	B
5.314000	5.314000	B
5.328000	5.328000	B
5.796000	5.796000	B
5.858000	5.858000	B
5.872000	5.872000	B
6.612000	6.612000	B
6.680000	6.680000	B
6.692000	6.692000	B
8.797000	8.797000	B
8.859000	8.859000	B
9.419000	9.419000	B
9.877000	9.877000	B
9.935000	9.935000	B
9.943000	9.943000	B
9.985000	9.985000	B
10.431000	10.431000	B
10.969000	10.969000	B
10.991000	10.991000	B
11.036000	11.036000	B
11.054000	11.054000	B
11.536000	11.536000	B
11.580000	11.580000	B
12.058000	12.058000	B
12.115000	12.115000	B
12.205000	12.205000	B
12.226000	12.226000	B
12.248000	12.248000	B
12.674000	12.674000	B
13.151000	13.151000	B
13.170000	13.170000	B
13.706000	13.706000	B
13.766000	13.766000	B
14.243000	14.243000	B
14.248000	14.248000	B
14.308000	14.308000	B
14.855000	14.855000	B
14.913000	14.913000	B
14.935000	14.935000	B
15.351000	15.351000	B
15.384000	15.384000	B
15.435000	15.435000	B
15.880000	15.880000	B
15.944000	15.944000	B
16.421000	16.421000	B
16.489000	16.489000	B
16.590000	16.590000	B
16.968000	16.968000	B
16.989000	16.989000	B
17.111000	17.111000	B
17.518000	17.518000	B
17.568000	17.568000	B
18.598000	18.598000	B
18.671000	18.671000	B
18.691000	18.691000	B
19.705000	19.705000	B
19.762000	19.762000	B
20.305000	20.305000	B
20.324000	20.324000	B
20.772000	20.772000	B
20.784000	20.784000	B
20.841000	20.841000	B
21.399000	21.399000	B
21.416000	21.416000	B
21.434000	21.434000	B
21.877000	21.877000	B
21.929000	21.929000	B
21.984000	21.984000	B
22.001000	22.001000	B
22.020000	22.020000	B
22.042000	22.042000	B
22.063000	22.063000	B
22.399000	22.399000	B
22.412000	22.412000	B
22.430000	22.430000	B
22.474000	22.474000	B
22.961000	22.961000	B
23.026000	23.026000	B
23.034000	23.034000	B
23.076000	23.076000	B
23.091000	23.091000	B
23.113000	23.113000	B
23.135000	23.135000	B
23.510000	23.510000	B
